timestamp,open,high,low,close,volume,turnover
2025-08-14 00:00:00,123319.0,123343.6,123263.2,123300.0,19.433163,2396427.1028428
2025-08-14 00:01:00,123300.0,123382.1,123287.7,123363.2,14.677729,1809996.4147761
2025-08-14 00:02:00,123363.2,123510.7,123363.2,123505.1,44.110333,5446060.4427578
2025-08-14 00:03:00,123505.1,123558.9,123485.9,123558.9,18.031698,2227346.1721192
2025-08-14 00:04:00,123558.9,123595.6,123511.7,123595.6,28.535709,3525702.3941756
2025-08-14 00:05:00,123595.6,123733.5,123595.6,123733.4,10.216979,1263546.58348269
2025-08-14 00:06:00,123733.4,123733.5,123592.8,123592.8,15.195388,1879117.8330935
2025-08-14 00:07:00,123592.8,123690.2,123519.8,123656.4,22.68369,2803355.2352609
2025-08-14 00:08:00,123656.4,123727.6,123656.4,123727.4,2.934776,363043.2578581
2025-08-14 00:09:00,123727.4,123777.3,123711.3,123777.3,3.994593,494284.12822842
2025-08-14 00:10:00,123777.3,123777.3,123736.7,123770.4,6.91401,855677.6140501
2025-08-14 00:11:00,123770.4,123789.9,123714.9,123714.9,4.576749,566400.84538662
2025-08-14 00:12:00,123714.9,123772.8,123710.7,123772.7,11.739739,1452710.8288714
2025-08-14 00:13:00,123772.7,123871.9,123772.7,123871.9,10.673906,1321610.73809196
2025-08-14 00:14:00,123871.9,123879.5,123813.0,123870.6,7.559669,936316.7443942
2025-08-14 00:15:00,123870.6,123990.0,123857.5,123982.4,47.790514,5921428.41086609
2025-08-14 00:16:00,123982.4,123982.4,123719.0,123824.2,23.584115,2920217.0463742
2025-08-14 00:17:00,123824.2,123841.4,123656.7,123775.3,18.077071,2236953.5497504
2025-08-14 00:18:00,123775.3,123877.2,123775.3,123868.0,4.588908,568225.2166193
2025-08-14 00:19:00,123868.0,123944.5,123805.3,123934.4,6.080581,753257.7394768
2025-08-14 00:20:00,123934.4,123934.4,123883.7,123894.6,4.180767,518015.2594776
2025-08-14 00:21:00,123894.6,123988.8,123847.2,123988.8,4.461113,552797.0038712
2025-08-14 00:22:00,123988.8,124066.2,123953.0,123989.7,36.307284,4501856.97924259
