timestamp,open,high,low,close,volume,turnover
2025-08-14 00:00:00,3.275,3.2759,3.2728,3.2737,33778.29,110604.57928
2025-08-14 00:01:00,3.2737,3.2782,3.2737,3.2782,14029.64,45963.45675
2025-08-14 00:02:00,3.2782,3.2801,3.2772,3.2798,28595.0,93745.146684
2025-08-14 00:03:00,3.2798,3.2806,3.2785,3.2804,25433.92,83412.37247
2025-08-14 00:04:00,3.2804,3.2813,3.2791,3.2811,24319.11,79770.190237
2025-08-14 00:05:00,3.2811,3.2852,3.2811,3.2829,44176.43,145069.375992
2025-08-14 00:06:00,3.2829,3.2843,3.2816,3.2832,18511.86,60778.038194
2025-08-14 00:07:00,3.2832,3.2833,3.2795,3.2808,145021.49,475784.778697
2025-08-14 00:08:00,3.2808,3.2826,3.2797,3.2801,89319.29,293065.807489
2025-08-14 00:09:00,3.2801,3.2814,3.279,3.2794,43328.24,142141.081859
2025-08-14 00:10:00,3.2794,3.2805,3.2786,3.2796,22801.95,74776.899468
2025-08-14 00:11:00,3.2796,3.2798,3.2783,3.2783,9372.03,30730.401982
2025-08-14 00:12:00,3.2783,3.2783,3.2719,3.277,210900.66,690872.636522
2025-08-14 00:13:00,3.277,3.2796,3.2767,3.279,36740.74,120441.639765
2025-08-14 00:14:00,3.279,3.2808,3.2781,3.2806,104180.06,341642.669805
2025-08-14 00:15:00,3.2806,3.2842,3.2801,3.2842,68071.77,223372.461129
2025-08-14 00:16:00,3.2842,3.2842,3.2781,3.2801,71478.79,234579.37111
2025-08-14 00:17:00,3.2801,3.2807,3.2744,3.2757,65797.77,215629.602871
2025-08-14 00:18:00,3.2757,3.2802,3.2757,3.2802,10053.62,32960.478408
2025-08-14 00:19:00,3.2802,3.2833,3.2794,3.2828,26818.25,88016.826331
2025-08-14 00:20:00,3.2828,3.2841,3.2821,3.2825,124964.09,410224.173959
2025-08-14 00:21:00,3.2825,3.2851,3.2821,3.2851,86316.09,283394.727213
2025-08-14 00:22:00,3.2851,3.2864,3.2828,3.2845,134556.3,441930.127799
2025-08-14 00:23:00,3.2845,3.2858,3.2832,3.2847,25288.7,83065.580849
2025-08-14 00:24:00,3.2847,3.2865,3.2824,3.2828,110738.49,363781.239304
2025-08-14 00:25:00,3.2828,3.2828,3.279,3.2822,73527.71,241277.083883
2025-08-14 00:26:00,3.2822,3.2839,3.2801,3.2806,18421.01,60448.732222
2025-08-14 00:27:00,3.2806,3.2857,3.2806,3.2857,71493.56,234736.756257
2025-08-14 00:28:00,3.2857,3.2874,3.2851,3.2872,50436.45,165757.629698
2025-08-14 00:29:00,3.2872,3.2899,3.2862,3.2899,84075.97,276422.52404
2025-08-14 00:30:00,3.2899,3.2978,3.288,3.2975,267894.17,882255.827222
2025-08-14 00:31:00,3.2975,3.3004,3.2955,3.2995,186617.6,615524.521073
2025-08-14 00:32:00,3.2995,3.3037,3.299,3.3035,149383.54,493175.41801
2025-08-14 00:33:00,3.3035,3.3045,3.3011,3.3032,98060.55,323925.204904
2025-08-14 00:34:00,3.3032,3.3033,3.2995,3.2996,47825.15,157900.540849
2025-08-14 00:35:00,3.2996,3.3002,3.2849,3.285,176598.45,581673.529438
2025-08-14 00:36:00,3.285,3.2866,3.2796,3.2858,135180.36,443762.264442
2025-08-14 00:37:00,3.2858,3.2921,3.2855,3.2871,92281.96,303507.297466
2025-08-14 00:38:00,3.2871,3.2945,3.2862,3.2916,244037.82,803103.697788
2025-08-14 00:39:00,3.2916,3.2931,3.2892,3.2926,34133.8,112324.060725
2025-08-14 00:40:00,3.2926,3.2977,3.2919,3.296,68901.74,227103.61324
2025-08-14 00:41:00,3.296,3.2961,3.2883,3.2901,89307.55,293953.774142
2025-08-14 00:42:00,3.2901,3.2914,3.2876,3.2876,167133.25,549705.124635
2025-08-14 00:43:00,3.2876,3.2886,3.2824,3.2824,120897.22,397313.714219
2025-08-14 00:44:00,3.2824,3.2909,3.2824,3.2903,62187.11,204470.504018
2025-08-14 00:45:00,3.2903,3.2904,3.2856,3.2888,50767.91,166915.251241
2025-08-14 00:46:00,3.2888,3.2891,3.2859,3.2871,23123.5,76013.541448
2025-08-14 00:47:00,3.2871,3.2881,3.2824,3.2827,60494.59,198756.806723
2025-08-14 00:48:00,3.2827,3.2827,3.2747,3.2747,108779.15,356508.31263
2025-08-14 00:49:00,3.2747,3.2769,3.2729,3.2729,61108.77,200108.276096
2025-08-14 00:50:00,3.2729,3.2753,3.2711,3.2726,88736.61,290461.587574
2025-08-14 00:51:00,3.2726,3.2755,3.2716,3.2751,51701.63,169209.41364
2025-08-14 00:52:00,3.2751,3.2778,3.2702,3.2776,87859.98,287599.868599
2025-08-14 00:53:00,3.2776,3.2802,3.2768,3.2775,71533.36,234526.315586
2025-08-14 00:54:00,3.2775,3.2817,3.2773,3.2811,35722.35,117130.720191
2025-08-14 00:55:00,3.2811,3.285,3.2811,3.285,17027.19,55897.312189
2025-08-14 00:56:00,3.285,3.286,3.2819,3.2854,17555.07,57657.82601
2025-08-14 00:57:00,3.2854,3.287,3.2845,3.287,40791.72,134010.984035
2025-08-14 00:58:00,3.287,3.287,3.2825,3.2855,32775.91,107685.297979
2025-08-14 00:59:00,3.2855,3.2982,3.2855,3.2982,85633.03,282071.601098
2025-08-14 01:00:00,3.2982,3.3079,3.2973,3.3056,441575.06,1459426.977765
2025-08-14 01:01:00,3.3056,3.3063,3.2984,3.2984,148833.28,491420.786994
2025-08-14 01:02:00,3.2984,3.3012,3.2933,3.2957,170736.89,563069.340621
2025-08-14 01:03:00,3.2957,3.2959,3.2867,3.2897,72869.61,239769.507925
2025-08-14 01:04:00,3.2897,3.297,3.2853,3.291,105322.74,346756.314453
2025-08-14 01:05:00,3.291,3.3006,3.291,3.2965,80497.38,265468.421067
2025-08-14 01:06:00,3.2965,3.2965,3.2913,3.2922,47755.33,157312.181724
2025-08-14 01:07:00,3.2922,3.2933,3.2861,3.2869,49162.09,161766.667169
2025-08-14 01:08:00,3.2869,3.2874,3.2827,3.2838,35802.26,117603.682023
2025-08-14 01:09:00,3.2838,3.2879,3.2827,3.2855,26979.49,88632.174536
2025-08-14 01:10:00,3.2855,3.2931,3.2855,3.2901,27741.83,91251.713676
2025-08-14 01:11:00,3.2901,3.2948,3.2892,3.2927,24383.46,80299.326066
2025-08-14 01:12:00,3.2927,3.295,3.2893,3.2949,37203.01,122470.269341
2025-08-14 01:13:00,3.2949,3.295,3.2905,3.2912,31398.54,103387.303034
2025-08-14 01:14:00,3.2912,3.2941,3.2889,3.2891,49856.06,164137.311673
2025-08-14 01:15:00,3.2891,3.291,3.2881,3.2895,47493.94,156247.76235
2025-08-14 01:16:00,3.2895,3.2896,3.2841,3.2853,34966.27,114918.681127
2025-08-14 01:17:00,3.2853,3.2895,3.2843,3.2895,47563.96,156353.953428
2025-08-14 01:18:00,3.2895,3.2968,3.2888,3.2957,75446.47,248415.772477
2025-08-14 01:19:00,3.2957,3.2988,3.2934,3.2984,50499.89,166439.390405
2025-08-14 01:20:00,3.2984,3.3011,3.2953,3.2959,52670.75,173716.917698
2025-08-14 01:21:00,3.2959,3.2965,3.2919,3.2935,23554.54,77582.211806
2025-08-14 01:22:00,3.2935,3.2937,3.2901,3.2904,42859.26,141070.157836
2025-08-14 01:23:00,3.2904,3.2946,3.2902,3.2946,25181.59,82920.378163
2025-08-14 01:24:00,3.2946,3.2954,3.2935,3.2953,9454.44,31152.950577
2025-08-14 01:25:00,3.2953,3.297,3.294,3.2955,29156.96,96085.123028
2025-08-14 01:26:00,3.2955,3.2957,3.292,3.2928,93784.72,308814.110891
2025-08-14 01:27:00,3.2928,3.295,3.291,3.2949,20095.06,66181.913095
2025-08-14 01:28:00,3.2949,3.2961,3.2941,3.2957,16254.48,53567.408083
2025-08-14 01:29:00,3.2957,3.2964,3.2941,3.2964,13143.67,43312.723082
2025-08-14 01:30:00,3.2964,3.2964,3.2928,3.2928,25204.0,83027.532228
2025-08-14 01:31:00,3.2928,3.2976,3.2928,3.2975,22648.23,74642.722902
2025-08-14 01:32:00,3.2975,3.2999,3.2967,3.2999,34062.2,112351.324141
2025-08-14 01:33:00,3.2999,3.3125,3.2999,3.3119,245966.75,813785.499365
2025-08-14 01:34:00,3.3119,3.3203,3.3115,3.3169,316224.8,1048887.661834
2025-08-14 01:35:00,3.3169,3.3206,3.3127,3.3202,373265.36,1238095.786059
2025-08-14 01:36:00,3.3202,3.3292,3.3199,3.3238,547260.87,1819520.706307
2025-08-14 01:37:00,3.3238,3.3295,3.3231,3.3238,377453.91,1255656.934838
2025-08-14 01:38:00,3.3238,3.3279,3.3204,3.3227,173496.26,576692.598602
2025-08-14 01:39:00,3.3227,3.3296,3.3194,3.3292,146031.26,485584.036589
2025-08-14 01:40:00,3.3292,3.3292,3.3227,3.3244,96540.89,320989.191084
2025-08-14 01:41:00,3.3244,3.3245,3.3181,3.3208,102156.54,339267.129405
2025-08-14 01:42:00,3.3208,3.3208,3.3167,3.3188,100595.48,333862.1816
2025-08-14 01:43:00,3.3188,3.321,3.3172,3.3182,39927.33,132526.358829
2025-08-14 01:44:00,3.3182,3.3207,3.3149,3.3207,54673.95,181382.426524
2025-08-14 01:45:00,3.3207,3.323,3.318,3.3211,400373.11,1329223.273873
2025-08-14 01:46:00,3.3211,3.322,3.3153,3.3166,114561.15,380023.593731
2025-08-14 01:47:00,3.3166,3.3198,3.3147,3.3195,75480.07,250362.616391
2025-08-14 01:48:00,3.3195,3.3272,3.3181,3.3265,162594.42,540370.571604
2025-08-14 01:49:00,3.3265,3.329,3.3241,3.3253,102769.84,341880.302851
2025-08-14 01:50:00,3.3253,3.3312,3.3225,3.323,260366.57,866717.979621
2025-08-14 01:51:00,3.323,3.323,3.3155,3.3172,100361.79,332977.796268
